,location,tier,ev_dc_fast_count,vehicle count,fast charger ratio,NNI Index,need_score,demand_score,spatial_score,priority_score
1,Richmond Hill,Under-served,4,16646.0,0.00024,7.139,1.0,0.8358459271969445,0.0,75.1
2,West Vancouver,Under-served,2,8130.0,0.00025,15.792,0.9769023398972398,0.7663764655525718,0.0,71.8
3,Port Moody,Under-served,1,3944.0,0.00025,1.000,0.9479342325706068,0.696258515958504,0.0,68.3
4,New Westminster,Under-served,2,6206.0,0.00032,1.000,0.7464008261312529,0.7401992421310856,0.0,59.5
5,Port Coquitlam,Under-served,2,6182.0,0.00032,1.000,0.7435227554813778,0.7398236467271969,0.0,59.4
6,Vaughan,Under-served,7,19596.0,0.00036,1.561,0.6735713216735607,0.8516630499532065,0.0,59.2
7,Vancouver,Under-served,92,87968.0,0.00105,0.416,0.23040957302785425,0.9972446085017578,0.8828501166390395,59.1
8,Toronto,Under-served,78,90504.0,0.00086,0.689,0.27956848452462496,1.0,0.4691103190613398,53.4
9,Ottawa,Under-served,30,38092.0,0.00079,0.729,0.3059118013824784,0.9161015536320781,0.4094168957008635,51.0
10,Burnaby,Under-served,13,25294.0,0.00051,2.216,0.46851576779312587,0.8764077360283176,0.0,49.7
11,Brampton,Under-served,12,23350.0,0.00051,1.297,0.4685496690440661,0.8686549060147832,0.0,49.5
12,Mission,Under-served,1,2444.0,0.00041,1.000,0.588244767962911,0.6498770528750791,0.0,48.9
13,Halifax,Under-served,5,10330.0,0.00048,3.052,0.4974331486447104,0.7895927193909333,0.0,48.6
14,Aurora,Under-served,2,4502.0,0.00044,1.000,0.5418865473760086,0.7090845637786761,0.0,48.4
15,Caledon,Under-served,2,4464.0,0.00045,9.880,0.5373218193645447,0.7082629449429717,0.0,48.1
16,Mississauga,Under-served,64,33034.0,0.00194,0.522,0.12437755937196758,0.9022897092817673,0.7218179008376133,47.7
17,Maple Ridge,Under-served,4,8188.0,0.00049,14.578,0.4928667349945966,0.7670655769902839,0.0,47.7
18,Richmond,Under-served,33,31648.0,0.00104,0.732,0.23109757899512517,0.8981343112360854,0.4047974940436952,46.6
19,Milton,Under-served,5,6858.0,0.00073,0.773,0.3304301832223463,0.7498830373136185,0.3436260830108783,45.9
20,Langley,Under-served,10,17170.0,0.00058,1.598,0.41352770778504255,0.8388506050611653,0.0,45.8
21,Surrey,Under-served,47,61114.0,0.00077,1.173,0.313268932292785,0.9619326257229034,0.0,44.5
22,Oakville,Under-served,14,19898.0,0.00070,1.124,0.3423872737368922,0.8531457117028024,0.0,42.7
23,Oshawa,Well-served,45,5574.0,0.00807,0.451,0.029768015943448262,0.7297881829971333,0.8299283875734499,40.0
24,Langford,Under-served,2,3216.0,0.00062,1.000,0.3873103007465232,0.6764806542142695,0.0,39.7
