id,station_name,street_address,city,province,latitude,longitude,ev_network,ev_dc_fast_count,ev_level2_evse_num,ev_connector_types,groups_with_access_code,access_days_time,open_date
129454,Essex - Sports Complex,60 Fairview Ave W.,Essex,Ontario,42.167112,-82.816715,FLO,2,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2019-07-17
83915,BVD Petroleum - Comber - Tesla Supercharger,7018 Industrial Drive,Comber,Ontario,42.239116,-82.550227,Tesla,8,0.0,TESLA,Public,24 hours daily; for Tesla use only,2015-04-01
83263,Reaume Chevrolet Buick GMC,500 Front Rd,Windsor,Ontario,42.241722,-83.102857,Non-Networked,1,1.0,J1772 J1772COMBO,Public,24 hours daily,2013-01-15
156672,Hydro One Inc,5001 Concession Rd 8,Old Castle,Ontario,42.24333,-82.94717,Non-Networked,2,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
210228,Shell Canada Ltd,5501 Ojibway Pky,Windsor,Ontario,42.26009628,-83.08496642,Non-Networked,2,0.0,Unknown,PLANNED - not yet accessible (Public),Unknown,
83443,Lanoue Chevrolet,75 Mill St W,Tillbury,Ontario,42.262758,-82.446151,Non-Networked,1,1.0,J1772 J1772COMBO,Public,Dealership business hours,2013-01-15
163834,Tilbury,37 Mill St E,Tilbury,Ontario,42.2646,-82.42569,Electrify Canada,4,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2020-07-03
165189,Ivy - Windsor,3155 Howard Ave,Windsor,Ontario,42.274246,-83.006671,IVY,2,0.0,CHADEMO J1772COMBO,Public,24 hours daily; Also accepts in-app payment,2020-08-10
220731,Ivy - ONroute Tilbury South,62 Hwy 401 Eastbound,Chatham-Kent,Ontario,42.27456621,-82.4002133,IVY,2,0.0,CHADEMO J1772COMBO,Public - Credit card at all times,24 hours daily,2022-05-31
220732,Ivy - ONroute Tilbury North,58 Hwy 401 Westbound,Tilbury,Ontario,42.27661152,-82.40104492,IVY,2,0.0,CHADEMO J1772COMBO,Public - Credit card at all times,24 hours daily,2022-05-31
158075,Real Canadian Superstore,2430 Dougall St,Windsor,Ontario,42.2890479,-83.0222068,Non-Networked,1,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
157847,Ontario Charging Network LP Canadian Tire,2650 Tecumseh Rd W,Windsor,Ontario,42.29218,-83.05804,Non-Networked,2,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
180518,OVERSEAS BMW FAST CHARGER 01,9425 Tecumseh Rd E,Windsor,Ontario,42.313713,-82.924253,ChargePoint Network,1,0.0,J1772COMBO,Public,24 hours daily,2021-01-27
83124,Gus Revenberg Chevrolet Buick GMC,10150 Tecumseh Rd E,Tecumseh,Ontario,42.314019,-82.916044,Non-Networked,1,0.0,J1772COMBO,Public - Call ahead,Dealership business hours,2013-08-15
156678,Hydro One Inc,9386 Pinehurst Line,Chatham,Ontario,42.388179,-82.096361,Non-Networked,3,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
83126,Heuvelmans Chevrolet,755 Grand Ave W,Chatham,Ontario,42.395337,-82.212924,Non-Networked,1,1.0,J1772 J1772COMBO,Private,24 hours daily,2011-09-15
85127,Tim Horton's,33 3rd St,Chatham,Ontario,42.40411,-82.189163,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2017-05-15
197854,Wallaceburg,74 McNaughton Ave,Wallaceburg,Ontario,42.586657,-82.38482,FLO,1,1.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2021-10-16
88072,Transit: 75002 Wallaceburg,541 James Street,Wallaceburg,Ontario,42.593662,-82.384914,EV Connect,1,0.0,CHADEMO J1772COMBO,Public,Unknown,2017-07-01
207860,Ivy - ONroute Dutton,27585 Highway 401 Eastbound,Dutton,Ontario,42.64440095,-81.56047577,IVY,2,0.0,CHADEMO J1772COMBO,Public - Credit card at all times,24 hours daily,2022-03-07
207861,Ivy - ONroute West Lorne,290 ON-401,Dutton,Ontario,42.6495876,-81.55691932,IVY,3,0.0,CHADEMO J1772COMBO,Public - Credit card at all times,24 hours daily,2022-03-07
94479,Scotiabank,407 Main St,Port Dover,Ontario,42.787499,-80.205286,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2017-08-01
94483,Scotiabank,4 Norfolk St N,Simcoe,Ontario,42.837253,-80.304252,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2017-08-01
231067,Transit: 92452 Simcoe,54 Norfolk Street North,Simcoe,Ontario,42.838473,-80.304814,EV Connect,1,0.0,CHADEMO J1772COMBO,Public,Unknown,2022-09-30
85226,Tim Horton's,401 Simcoe St,Tillsonburg,Ontario,42.853153,-80.689851,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2017-09-01
85227,Tim Horton's,560 Broadway St,Tillsonburg,Ontario,42.87722,-80.744461,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public - Credit card at all times,24 hours daily,2017-09-01
94476,Victoria Hall,411 Greenfield St,Petrolia,Ontario,42.881106,-82.146763,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2018-05-15
85212,Tim Horton's,429 Main St W,Port Colborne,Ontario,42.899117,-79.258793,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2017-05-15
85138,Tim Horton's,1167 Garrison Rd,Fort Erie,Ontario,42.904444,-78.958962,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2017-05-15
204690,Fort Erie,240 Garrison Rd,Fort Erie,Ontario,42.904712,-78.924098,FLO,1,1.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2022-01-12
157891,Super Store Mall - Tesla Supercharger,4350 Wellington Road South,London,Ontario,42.917334,-81.208558,Tesla,12,0.0,TESLA,Public,24 hours daily; for Tesla use only,2020-05-01
156676,Ivy - London,4380 Wellington Rd S,London,Ontario,42.91773137,-81.20899009,IVY,3,0.0,CHADEMO J1772COMBO,Public - Credit card at all times,24 hours daily; Also accepts in-app payment,2020-06-26
210208,Shell Canada Ltd,1390 Wellington Rd,London,Ontario,42.92579161,-81.21543277,Non-Networked,2,0.0,Unknown,PLANNED - not yet accessible (Public),Unknown,
189158,London South ( Canadian Tire),1125 Wellington Road,London,Ontario,42.93072,-81.22085,Electrify Canada,4,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2021-05-04
129464,FLO - Canadian Tire - London South,1115 Wellington Road South,London,Ontario,42.9308856,-81.221,FLO,1,2.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
84378,Ray Cullen Chevrolet,730 Wharncliffe Rd S,London,Ontario,42.947677,-81.258042,Non-Networked,1,0.0,J1772COMBO,Public - Call ahead,24 hours daily,2015-05-16
85126,Tim Horton's,51 Talbot St E,Cayuga,Ontario,42.951401,-79.849479,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2017-05-15
83230,Petro-Canada,3305 Dorchester Rd,Dorchester,Ontario,42.95611,-81.061756,PETROCAN,2,1.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2015-09-15
83897,Audi London,481 Wharncliffe Rd S,London,Ontario,42.9581,-81.2616,Non-Networked,1,0.0,CHADEMO,Public,"8am-5PM M-F, Audi clients only",2015-11-15
158074,Real Canadian Superstore,626 Victoria St,Strathroy,Ontario,42.9673138,-81.6339047,Non-Networked,1,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
209351,Hydro One Inc,600 Murphy Rd,Sarnia,Ontario,42.97751467,-82.36554824,Non-Networked,2,0.0,Unknown,PLANNED - not yet accessible (Public),Unknown,
227725,Mobil,600 Murphy Rd,Sarnia,Ontario,42.97904529,-82.36480385,IVY,4,0.0,CHADEMO J1772COMBO,Public - Credit card at all times,24 hours daily,2022-09-13
84926,Finch Chevrolet Cadillac Buick GMC,640 Wonderland Rd N,London,Ontario,42.981413,-81.291468,Non-Networked,1,2.0,J1772,Private,Dealership business hours,2012-06-15
185160,Sarnia,1330 EXMOUTHST,Sarnia,Ontario,42.98525,-82.35662,Electrify Canada,4,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2021-02-18
156679,Hydro One Inc,750 Front St,Sarnia,Ontario,42.98966,-82.40419,Non-Networked,3,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
169659,ChargeLab - Bridge St,2 Bridge St,Point Edward,Ontario,42.9923795,-82.4106227,CHARGELAB,1,0.0,CHADEMO J1772COMBO,Public - Credit card at all times,24 hours daily,2019-09-09
156677,Hydro One Inc,28895 Centre Rd,Strathroy,Ontario,43.0046196,-81.699951,Non-Networked,2,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
85216,Tim Horton's,1399 Colborne Rd,Sarnia,Ontario,43.005069,-82.388348,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2017-07-15
189157,Welland (Canadian Tire),158 Primeway Drive,Welland,Ontario,43.0153,-79.22866,Electrify Canada,4,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2021-05-04
129472,FLO - Cadillac Fairview - Masonville Place,"1680 Richmond St, London, ON",London,Ontario,43.027706,-81.277942,FLO,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2019-07-17
129475,Oxford County - Ingersoll,16 King St W,Ingersoll,Ontario,43.037577,-80.883237,FLO,1,2.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
85198,Tim Horton's,8089 Portage Rd,Niagara Falls,Ontario,43.059827,-79.053274,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2017-05-15
158041,JYSK - Niagara Falls,7555 Montrose Rd,Niagara Falls,Ontario,43.0659416,-79.1259231,Non-Networked,2,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
214722,Ivy - ONroute Woodstock,401225 Highway 401,Woodstock,Ontario,43.06662892,-80.79829985,IVY,4,0.0,CHADEMO J1772COMBO,Public - Credit card at all times,24 hours daily,2022-03-16
158040,LA Fitness,6777 Morrison St,Niagara Falls,Ontario,43.1051228,-79.1096048,Non-Networked,2,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
129481,Oxford County - Woodstock,580 Bruin Blvd.,Woodstock,Ontario,43.111857,-80.738677,FLO,1,2.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
103130,Quality Inn & Suites - Tesla Supercharger,580 Bruin Blvd.,Woodstock,Ontario,43.111918,-80.738804,Tesla,8,0.0,TESLA,Public,24 hours daily; for Tesla use only,2015-02-01
129482,FLO - Canadian Tire - Niagara,7624 Regional Rd 57,Niagara Falls,Ontario,43.1141,-79.125047,FLO,2,2.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
129483,FLO - Canadian Tire - Woodstock,465 Norwich Ave,Woodstock,Ontario,43.115847,-80.736863,FLO,1,1.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
157892,Mount Carmel Centre - Tesla Supercharger,3770 Montrose Road,Niagara Falls,Ontario,43.116828,-79.124508,Tesla,12,0.0,TESLA,Public,24 hours daily; for Tesla use only,2020-05-01
211936,Transit: 75796 Woodstock,485 Dundas St.,Woodstock,Ontario,43.13038,-80.756733,EV Connect,1,0.0,CHADEMO J1772COMBO,Public,Unknown,2022-03-17
158067,Canadian Tire Corp,300 Glendale Ave,St. Catharines,Ontario,43.1341503,-79.2183716,Non-Networked,1,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
85116,Tim Horton's,1290 Colborne St E,Brantford,Ontario,43.14943609,-80.1870915,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2017-05-15
156674,Ivy - Brantford,80 King George Rd,Brantford,Ontario,43.16529055,-80.27460708,IVY,3,0.0,CHADEMO J1772COMBO,Public - Credit card at all times,24 hours daily; Also accepts in-app payment,2020-05-28
129488,FLO - Canadian Tire - Brantford,30 Lynden Rd,Brantford,Ontario,43.172782,-80.244395,FLO,1,2.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
