location,ev_dc_fast_count,ev_level2_evse_num,vehicle count,fast charger ratio,level 2 charger ratio,total ratio,NNI Index
Abbotsford,24,0.0,11360.0,0.002112676056338028,0.0,0.002112676056338028,1.1893782186603161
Ajax,4,3.0,5846.0,0.0006842285323297981,0.0005131713992473486,0.0011973999315771468,2.489261169019125
Arnprior,2,1.0,344.0,0.005813953488372093,0.0029069767441860465,0.00872093023255814,6.308889269984377
Ashcroft,2,2.0,0.0,inf,inf,inf,
Atikokan,2,0.0,10.0,0.2,0.0,0.2,
Aurora,2,0.0,4502.0,0.000444247001332741,0.0,0.000444247001332741,
Bancroft,8,0.0,16.0,0.5,0.0,0.5,
Barrie,45,4.0,4408.0,0.010208711433756805,0.0009074410163339383,0.011116152450090745,1.025586246368355
Beaver Creek,1,0.0,0.0,inf,,inf,
Belleville,21,2.0,908.0,0.023127753303964757,0.0022026431718061676,0.025330396475770924,14.771309270424117
Black River-Matheson,2,0.0,10.0,0.2,0.0,0.2,
Blind River,8,0.0,38.0,0.21052631578947367,0.0,0.21052631578947367,4.231014433007295
Brampton,12,5.0,23350.0,0.0005139186295503212,0.00021413276231263382,0.000728051391862955,1.2970236400762627
Brandon,14,0.0,724.0,0.019337016574585635,0.0,0.019337016574585635,2.3202981556148448
Brantford,5,2.0,2190.0,0.00228310502283105,0.0009132420091324201,0.0031963470319634705,3.0234453653708124
Brighton,8,0.0,298.0,0.026845637583892617,0.0,0.026845637583892617,4.122471271562141
Brockville,7,0.0,362.0,0.019337016574585635,0.0,0.019337016574585635,10.794585983731235
Burlington,30,2.0,9702.0,0.0030921459492888066,0.00020614306328592042,0.0032982890125747267,0.9939921098528897
Burnaby,13,6.0,25294.0,0.0005139558788645528,0.00023721040562979363,0.0007511662844943465,2.2163290213382765
Burns Lake,2,0.0,6.0,0.3333333333333333,0.0,0.3333333333333333,
Burwash Landing,2,0.0,0.0,inf,,inf,
Cache Creek,11,0.0,24.0,0.4583333333333333,0.0,0.4583333333333333,1.9822448190655788
Caledon,2,0.0,4464.0,0.00044802867383512545,0.0,0.00044802867383512545,9.87977648496375
Cambridge,29,2.0,4224.0,0.006865530303030303,0.0004734848484848485,0.007339015151515152,0.6388621319127369
Campbell River,2,0.0,1182.0,0.001692047377326565,0.0,0.001692047377326565,
Canal Flats,1,0.0,20.0,0.05,0.0,0.05,
Carcross,1,0.0,14.0,0.07142857142857142,0.0,0.07142857142857142,
Cariboo A,2,0.0,78.0,0.02564102564102564,0.0,0.02564102564102564,
Cariboo K,2,1.0,8.0,0.25,0.125,0.375,
Carleton Place,3,0.0,330.0,0.00909090909090909,0.0,0.00909090909090909,5.5486443187192265
Carmacks,3,0.0,4.0,0.75,0.0,0.75,4.7176218896693305
Casselman,14,1.0,0.0,inf,inf,inf,2.55274544119573
Castlegar,12,0.0,264.0,0.045454545454545456,0.0,0.045454545454545456,2.141264110460529
Central Okanagan,2,0.0,190.0,0.010526315789473684,0.0,0.010526315789473684,
Chapleau,2,0.0,12.0,0.16666666666666666,0.0,0.16666666666666666,
Chase,2,0.0,64.0,0.03125,0.0,0.03125,7.277883427843957
Chatham-Kent,2,0.0,1466.0,0.001364256480218281,0.0,0.001364256480218281,
Chilliwack,20,0.0,5324.0,0.003756574004507889,0.0,0.003756574004507889,2.310990647151567
Clinton,1,0.0,0.0,inf,,inf,
Cobourg,2,0.0,578.0,0.0034602076124567475,0.0,0.0034602076124567475,
Cochrane,2,0.0,26.0,0.07692307692307693,0.0,0.07692307692307693,
Collingwood,19,5.0,826.0,0.023002421307506054,0.006053268765133172,0.029055690072639227,0.9260080285338835
Colwood,2,0.0,1434.0,0.001394700139470014,0.0,0.001394700139470014,
Coquitlam,17,0.0,17556.0,0.0009683299156983368,0.0,0.0009683299156983368,1.7558609188315935
Cornwall,14,0.0,770.0,0.01818181818181818,0.0,0.01818181818181818,1.8731388262020061
Courtenay,2,0.0,1564.0,0.0012787723785166241,0.0,0.0012787723785166241,
Cranbrook,9,0.0,514.0,0.017509727626459144,0.0,0.017509727626459144,1.8099577121791806
Creston,11,0.0,90.0,0.12222222222222222,0.0,0.12222222222222222,0.33800089790425614
Dauphin,1,0.0,104.0,0.009615384615384616,0.0,0.009615384615384616,
Davidson,6,0.0,8.0,0.75,0.0,0.75,
Deep River,6,0.0,138.0,0.043478260869565216,0.0,0.043478260869565216,
Deer Lake,1,0.0,0.0,inf,,inf,
Delta,13,0.0,11496.0,0.0011308281141266527,0.0,0.0011308281141266527,6.771342850255676
Digby,1,1.0,92.0,0.010869565217391304,0.010869565217391304,0.021739130434782608,
Dryden,10,0.0,90.0,0.1111111111111111,0.0,0.1111111111111111,2.9118329994570686
Duncan,1,0.0,156.0,0.00641025641025641,0.0,0.00641025641025641,
East St. Paul,1,0.0,368.0,0.002717391304347826,0.0,0.002717391304347826,
Elliot Lake,1,0.0,68.0,0.014705882352941176,0.0,0.014705882352941176,
Enderby,2,0.0,32.0,0.0625,0.0,0.0625,
Espanola,2,1.0,64.0,0.03125,0.015625,0.046875,
Essex,2,0.0,506.0,0.003952569169960474,0.0,0.003952569169960474,
Estevan,7,1.0,102.0,0.06862745098039216,0.00980392156862745,0.0784313725490196,4.383300455742894
Faro,1,0.0,4.0,0.25,0.0,0.25,
Fernie,9,1.0,132.0,0.06818181818181818,0.007575757575757576,0.07575757575757576,1.7707345020951952
Fort Erie,2,1.0,820.0,0.0024390243902439024,0.0012195121951219512,0.003658536585365854,4.153868453103987
Fort Frances,5,0.0,84.0,0.05952380952380952,0.0,0.05952380952380952,1.9674010295518258
Fort St. John,2,0.0,734.0,0.0027247956403269754,0.0,0.0027247956403269754,
Fraser Lake,2,0.0,0.0,inf,,inf,
Fraser Valley B,2,1.0,94.0,0.02127659574468085,0.010638297872340425,0.031914893617021274,
Fraser-Fort George F,2,0.0,18.0,0.1111111111111111,0.0,0.1111111111111111,
Fraser-Fort George H,2,0.0,16.0,0.125,0.0,0.125,
Georgian Bay,4,0.0,130.0,0.03076923076923077,0.0,0.03076923076923077,
Goderich,1,0.0,182.0,0.005494505494505495,0.0,0.005494505494505495,
Gold River,2,0.0,22.0,0.09090909090909091,0.0,0.09090909090909091,
Golden,23,0.0,68.0,0.3382352941176471,0.0,0.3382352941176471,1.1693827987715855
Grand Forks,4,0.0,46.0,0.08695652173913043,0.0,0.08695652173913043,16.92679801271218
Gravenhurst,7,0.0,208.0,0.03365384615384615,0.0,0.03365384615384615,3.2828494234801644
Greenwood,3,0.0,24.0,0.125,0.0,0.125,8.775457908523952
Grimsby,11,0.0,1388.0,0.00792507204610951,0.0,0.00792507204610951,1.9003339363199288
Guelph,6,3.0,4556.0,0.0013169446883230904,0.0006584723441615452,0.001975417032484636,1.4586306372800193
Haines Junction,1,0.0,24.0,0.041666666666666664,0.0,0.041666666666666664,
Halifax,5,0.0,10330.0,0.000484027105517909,0.0,0.000484027105517909,3.0521476435859864
